review_week,review_volume,average_rating,positive_reviews,negative_reviews,verified_reviews,helpful_votes,price_discussions,text_eligible_reviews,positive_share,negative_share,verified_share,price_discussion_share
2022-09-05,44,4.386363636363637,37,5,40,33,5,43,0.8409090909090909,0.11363636363636363,0.9090909090909091,0.11627906976744186
2022-09-12,26,4.115384615384615,19,4,24,34,4,26,0.7307692307692307,0.15384615384615385,0.9230769230769231,0.15384615384615385
2022-09-19,38,4.026315789473684,28,9,34,24,5,36,0.7368421052631579,0.23684210526315788,0.8947368421052632,0.1388888888888889
2022-09-26,44,4.159090909090909,34,8,41,16,5,43,0.7727272727272727,0.18181818181818182,0.9318181818181818,0.11627906976744186
2022-10-03,49,4.081632653061225,36,8,46,22,7,46,0.7346938775510204,0.16326530612244897,0.9387755102040817,0.15217391304347827
2022-10-10,40,3.725,27,12,39,17,7,40,0.675,0.3,0.975,0.175
2022-10-17,54,4.185185185185185,41,6,28,24,15,54,0.7592592592592593,0.1111111111111111,0.5185185185185185,0.2777777777777778
2022-10-24,25,3.48,16,8,20,15,2,24,0.64,0.32,0.8,0.08333333333333333
2022-10-31,34,4.117647058823529,26,5,32,19,5,32,0.7647058823529411,0.14705882352941177,0.9411764705882353,0.15625
2022-11-07,40,4.1,30,6,31,34,10,39,0.75,0.15,0.775,0.2564102564102564
2022-11-14,45,4.4222222222222225,40,4,25,17,5,45,0.8888888888888888,0.08888888888888889,0.5555555555555556,0.1111111111111111
2022-11-21,26,4.230769230769231,19,3,17,8,7,26,0.7307692307692307,0.11538461538461539,0.6538461538461539,0.2692307692307692
2022-11-28,41,3.926829268292683,28,8,38,18,5,40,0.6829268292682927,0.1951219512195122,0.926829268292683,0.125
2022-12-05,33,3.8484848484848486,23,8,32,31,5,29,0.696969696969697,0.24242424242424243,0.9696969696969697,0.1724137931034483
2022-12-12,45,3.7111111111111112,29,15,37,13,9,43,0.6444444444444445,0.3333333333333333,0.8222222222222222,0.20930232558139536
2022-12-19,52,4.076923076923077,38,10,45,24,12,52,0.7307692307692307,0.19230769230769232,0.8653846153846154,0.23076923076923078
2022-12-26,42,4.285714285714286,34,6,36,24,4,41,0.8095238095238095,0.14285714285714285,0.8571428571428571,0.0975609756097561
2023-01-02,51,3.9607843137254903,38,11,47,28,5,48,0.7450980392156863,0.21568627450980393,0.9215686274509803,0.10416666666666667
2023-01-09,46,3.9782608695652173,34,11,45,39,9,44,0.7391304347826086,0.2391304347826087,0.9782608695652174,0.20454545454545456
2023-01-16,38,4.2631578947368425,30,5,37,12,4,37,0.7894736842105263,0.13157894736842105,0.9736842105263158,0.10810810810810811
2023-01-23,38,3.8684210526315788,28,9,34,23,6,36,0.7368421052631579,0.23684210526315788,0.8947368421052632,0.16666666666666666
2023-01-30,28,3.8214285714285716,19,8,24,16,4,27,0.6785714285714286,0.2857142857142857,0.8571428571428571,0.14814814814814814
2023-02-06,27,4.222222222222222,21,2,25,12,5,27,0.7777777777777778,0.07407407407407407,0.9259259259259259,0.18518518518518517
2023-02-13,26,4.346153846153846,20,3,26,3,2,26,0.7692307692307693,0.11538461538461539,1.0,0.07692307692307693
2023-02-20,32,4.1875,25,5,30,7,2,32,0.78125,0.15625,0.9375,0.0625
2023-02-27,35,3.857142857142857,23,9,33,7,2,34,0.6571428571428571,0.2571428571428571,0.9428571428571428,0.058823529411764705
2023-03-06,44,4.409090909090909,36,4,43,2,9,44,0.8181818181818182,0.09090909090909091,0.9772727272727273,0.20454545454545456
2023-03-13,31,4.0,22,8,29,5,4,30,0.7096774193548387,0.25806451612903225,0.9354838709677419,0.13333333333333333
2023-03-20,33,3.8484848484848486,24,9,31,8,6,32,0.7272727272727273,0.2727272727272727,0.9393939393939394,0.1875
2023-03-27,33,4.0,25,6,33,4,7,31,0.7575757575757576,0.18181818181818182,1.0,0.22580645161290322
2023-04-03,32,4.25,26,6,32,4,5,31,0.8125,0.1875,1.0,0.16129032258064516
2023-04-10,20,4.0,15,4,18,21,1,20,0.75,0.2,0.9,0.05
2023-04-17,29,4.448275862068965,24,3,23,12,2,28,0.8275862068965517,0.10344827586206896,0.7931034482758621,0.07142857142857142
2023-04-24,17,3.823529411764706,10,4,15,12,1,17,0.5882352941176471,0.23529411764705882,0.8823529411764706,0.058823529411764705
2023-05-01,22,3.4545454545454546,11,7,20,2,5,21,0.5,0.3181818181818182,0.9090909090909091,0.23809523809523808
2023-05-08,14,3.857142857142857,10,4,13,6,4,12,0.7142857142857143,0.2857142857142857,0.9285714285714286,0.3333333333333333
2023-05-15,16,3.25,8,6,16,7,2,16,0.5,0.375,1.0,0.125
2023-05-22,17,2.823529411764706,7,9,17,9,3,16,0.4117647058823529,0.5294117647058824,1.0,0.1875
2023-05-29,10,4.3,8,1,10,10,1,10,0.8,0.1,1.0,0.1
2023-06-05,10,3.8,6,3,10,2,1,10,0.6,0.3,1.0,0.1
2023-06-12,6,3.1666666666666665,3,2,6,1,1,6,0.5,0.3333333333333333,1.0,0.16666666666666666
2023-06-19,7,3.2857142857142856,4,3,7,5,0,6,0.5714285714285714,0.42857142857142855,1.0,0.0
2023-06-26,9,3.6666666666666665,5,2,9,1,1,9,0.5555555555555556,0.2222222222222222,1.0,0.1111111111111111
2023-07-03,8,3.125,3,3,7,2,0,8,0.375,0.375,0.875,0.0
2023-07-10,4,2.0,0,3,4,1,1,4,0.0,0.75,1.0,0.25
2023-07-17,7,3.0,3,3,7,1,1,7,0.42857142857142855,0.42857142857142855,1.0,0.14285714285714285
2023-07-24,11,4.2727272727272725,8,1,11,1,0,10,0.7272727272727273,0.09090909090909091,1.0,0.0
2023-07-31,4,3.5,2,1,4,0,0,4,0.5,0.25,1.0,0.0
2023-08-07,5,3.2,2,3,5,0,0,5,0.4,0.6,1.0,0.0
2023-08-14,2,4.0,1,0,2,0,0,2,0.5,0.0,1.0,0.0
2023-08-21,5,4.2,4,1,5,0,1,5,0.8,0.2,1.0,0.2
2023-08-28,3,4.333333333333333,2,0,3,1,0,3,0.6666666666666666,0.0,1.0,0.0
